dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,38648-07,52,0.050326987,0.146323162,2.181344538,400.4444444,2.2508,0,0.55487,1.696,0.25033,0,0.111218234,0.111218234
HeadAndNeck,38648-07,53,0.007781504,0.53951976,2.478963959,276,2.2508,0,0.80324,1.4476,0,0,0,0
HeadAndNeck,3778-08,1,0.018278929,0.281390695,1.910518342,304,2.2508,0,1.4665,0.7843,0.29334,0,0.130326995,0.130326995
HeadAndNeck,3778-08,2,0.041252743,0.292646323,2.055667398,288,2.2508,0,0.6903,1.5606,0.052466,0,0.023309934,0.023309934
HeadAndNeck,3778-08,3,0.080516671,0.219109555,2.259222682,146.6666667,2.2508,0,0.31346,1.9374,0,0,0,0
HeadAndNeck,3778-08,4,0.086866462,0.12156078,1.447201214,277.3333333,2.2508,0,0.76553,1.4853,0.16004,0,0.071103608,0.071103608
HeadAndNeck,3778-08,5,0.260944699,0.14182091,2.081978842,228,2.2487,0.0021533,0.33581,1.9129,0.1142,0.000956659,0.050736314,0.051692974
HeadAndNeck,3778-08,6,0.083876325,0.119309655,1.63093326,312.4444444,2.2508,0,0.44074,1.8101,0.012259,0,0.005446508,0.005446508
HeadAndNeck,3778-08,7,0.32728504,0.096798399,1.341898715,514.6666667,2.2508,0,0.31362,1.9372,0.016181,0,0.007188999,0.007188999
HeadAndNeck,3778-08,8,0.004903495,0.474987494,2.358426808,302.2222222,2.2508,0,1.8815,0.36937,0.88116,0,0.391487471,0.391487471
HeadAndNeck,3778-08,9,0.083046348,0.153826913,1.683521462,375.5555556,2.2508,0,0.86481,1.386,0.030155,0,0.013397459,0.013397459
HeadAndNeck,3778-08,10,0.042297593,0.135067534,1.500054895,404,2.2508,0,0.82857,1.4223,0.044522,0,0.019780522,0.019780522
HeadAndNeck,3778-08,11,0.026179285,0.147823912,1.489368848,568.4444444,2.2508,0,1.3928,0.85807,0.016108,0,0.007156567,0.007156567
HeadAndNeck,3778-08,12,0.077720104,0.153076538,1.906821928,303.1111111,2.2508,0,0.37243,1.8784,0.048623,0,0.021602541,0.021602541
HeadAndNeck,3778-08,13,0.213070962,0.12156078,1.695026007,359.1111111,2.2508,0,0.55723,1.6936,0.0012307,0,0.000546783,0.000546783
HeadAndNeck,3778-08,14,0.044790081,0.206353177,2.07398026,318.6666667,2.2508,0,0.94499,1.3059,0.092497,0,0.041095166,0.041095166
HeadAndNeck,3778-08,15,0.023619275,0.188344172,1.928017822,216,1.8471,0.40378,0.69469,1.1524,0.14126,0.179387617,0.062757677,0.242145294
HeadAndNeck,3778-08,16,0.027068067,0.231865933,1.753323192,602.2222222,2.2508,0,0.78646,1.4644,0.0019409,0,0.000862316,0.000862316
HeadAndNeck,3778-08,17,0.110526019,0.147073537,1.644345174,407.1111111,2.2508,0,0.93784,1.313,0.070643,0,0.03138573,0.03138573
HeadAndNeck,3778-08,18,0.165376205,0.117058529,1.446209887,332,2.2508,0,0.6594,1.5914,0.076976,0,0.034199396,0.034199396
HeadAndNeck,3778-08,19,0.054404784,0.195847924,1.70447078,412.4444444,2.2508,0,0.68344,1.5674,0.012828,0,0.005699307,0.005699307
HeadAndNeck,3778-08,20,0.012313191,0.259629815,2.417601697,219.1111111,2.2508,0,1.7637,0.48715,0.71059,0,0.315705527,0.315705527
HeadAndNeck,3778-08,21,0.086776702,0.151575788,1.920275448,492.4444444,2.2508,0,0.3413,1.9095,0.028001,0,0.012440466,0.012440466
